date,region,road_category,traffic_sum,traffic_mean,traffic_max,traffic_count,monthly_change_mean,year,month,rolling_3m_avg,yoy_change,season,volume_classification,covid_period,recovery_trend
2022-11-01,Bergen,Riksvei,38789,38789.0,38789,1,-1.7,2022,11,38456.0,12.2,Autumn,Moderate,0,Stable
2022-11-01,Oslo,Europavei,51600,51600.0,51600,1,-2.3,2022,11,51433.3,8.4,Autumn,Very High,0,Stable
2022-12-01,Bergen,Riksvei,37123,37123.0,37123,1,-4.3,2022,12,,11.0,Winter,Moderate,0,Stable
2022-12-01,Oslo,Europavei,49900,49900.0,49900,1,-3.3,2022,12,51300.0,7.4,Winter,High,0,Stable
2023-01-01,Oslo,Europavei,52400,52400.0,52400,1,5.0,2023,1,52033.3,7.2,Winter,Very High,0,Stable
2023-02-01,Oslo,Europavei,53800,53800.0,53800,1,2.7,2023,2,53833.3,9.3,Winter,Very High,0,Stable
2023-03-01,Oslo,Europavei,55300,55300.0,55300,1,2.8,2023,3,54666.7,7.0,Spring,Very High,0,Stable
2023-04-01,Oslo,Europavei,54900,54900.0,54900,1,-0.7,2023,4,55800.0,9.4,Spring,Very High,0,Stable
2023-05-01,Oslo,Europavei,57200,57200.0,57200,1,4.2,2023,5,57300.0,8.8,Spring,Very High,0,Stable
2023-06-01,Oslo,Europavei,59800,59800.0,59800,1,4.5,2023,6,59800.0,10.0,Summer,Very High,0,Stable
2023-07-01,Oslo,Europavei,62400,62400.0,62400,1,4.3,2023,7,61366.7,9.9,Summer,Very High,0,Stable
2023-08-01,Oslo,Europavei,61900,61900.0,61900,1,-0.8,2023,8,61300.0,11.4,Summer,Very High,0,Stable
2023-09-01,Oslo,Europavei,59600,59600.0,59600,1,-3.7,2023,9,59933.3,11.6,Autumn,Very High,0,Stable
2023-10-01,Oslo,Europavei,58300,58300.0,58300,1,-2.2,2023,10,58233.3,10.4,Autumn,Very High,0,Stable
2023-11-01,Oslo,Europavei,56800,56800.0,56800,1,-2.6,2023,11,56566.7,10.1,Autumn,Very High,0,Stable
2023-12-01,Oslo,Europavei,54600,54600.0,54600,1,-3.9,2023,12,56200.0,9.4,Winter,Very High,0,Stable
2024-01-01,Oslo,Europavei,57200,57200.0,57200,1,4.8,2024,1,56866.7,9.2,Winter,Very High,0,Stable
2024-02-01,Oslo,Europavei,58800,58800.0,58800,1,2.8,2024,2,58800.0,9.3,Winter,Very High,0,Stable
2024-03-01,Oslo,Europavei,60400,60400.0,60400,1,2.7,2024,3,59466.7,9.2,Spring,Very High,0,Stable
2024-04-01,Oslo,Europavei,59200,59200.0,59200,1,-2.0,2024,4,60300.0,7.8,Spring,Very High,0,Stable
2024-05-01,Oslo,Europavei,61300,61300.0,61300,1,3.5,2024,5,61433.3,7.2,Spring,Very High,0,Stable
2024-06-01,Oslo,Europavei,63800,63800.0,63800,1,4.1,2024,6,63833.3,6.7,Summer,Very High,0,Stable
2024-07-01,Oslo,Europavei,66400,66400.0,66400,1,4.1,2024,7,65133.3,6.4,Summer,Very High,0,Stable
2024-08-01,Oslo,Europavei,65200,65200.0,65200,1,-1.8,2024,8,64966.7,5.3,Summer,Very High,0,Stable
2024-09-01,Oslo,Europavei,63300,63300.0,63300,1,-2.9,2024,9,63766.7,6.2,Autumn,Very High,0,Stable
2024-10-01,Oslo,Europavei,62800,62800.0,62800,1,-0.8,2024,10,,7.7,Autumn,Very High,0,Stable
